ds,yhat,yhat_lower,yhat_upper
2023-01-01,1577700313.966108,1524081811.1275678,1633338902.0287051
2023-04-01,1549569474.8100846,1492794536.356978,1604257645.1493726
2023-07-01,1521126070.7046165,1465344801.3918996,1578595984.5944967
2023-10-01,1492370101.7430212,1434979412.7628953,1548205142.9026392
2024-01-01,1463614132.781426,1406677595.849241,1513267495.7190173
2024-04-01,1435170728.6998482,1382000149.4503186,1488356475.4609916
2024-07-01,1406727324.6182702,1352096158.6104224,1461973229.4377754
2024-10-01,1377971355.6566749,1322436446.6321626,1435711990.1591282
